Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1987-06-01 00:00;1987-07-01 00:00;jun-87;12.4;Y
1987-07-01 00:00;1987-08-01 00:00;jul-87;16.4;Y
1987-08-01 00:00;1987-09-01 00:00;aug-87;13.3;Y
1987-09-01 00:00;1987-10-01 00:00;sep-87;10.9;Y
1987-10-01 00:00;1987-11-01 00:00;okt-87;8.9;Y
1987-11-01 00:00;1987-12-01 00:00;nov-87;2.9;Y
1987-12-01 00:00;1988-01-01 00:00;dec-87;-0.9;Y
1988-01-01 00:00;1988-02-01 00:00;jan-88;0.7;Y
1988-02-01 00:00;1988-03-01 00:00;feb-88;-0.1;Y
1988-03-01 00:00;1988-04-01 00:00;mar-88;-1.2;Y
1988-04-01 00:00;1988-05-01 00:00;apr-88;4.0;Y
1988-05-01 00:00;1988-06-01 00:00;maj-88;12.5;Y
1988-06-01 00:00;1988-07-01 00:00;jun-88;16.0;Y
1988-07-01 00:00;1988-08-01 00:00;jul-88;18.2;Y
1988-08-01 00:00;1988-09-01 00:00;aug-88;15.6;Y
1988-09-01 00:00;1988-10-01 00:00;sep-88;13.6;Y
1988-10-01 00:00;1988-11-01 00:00;okt-88;6.7;Y
1988-11-01 00:00;1988-12-01 00:00;nov-88;-0.3;Y
1988-12-01 00:00;1989-01-01 00:00;dec-88;-1.8;Y
1989-01-01 00:00;1989-02-01 00:00;jan-89;3.2;Y
1989-02-01 00:00;1989-03-01 00:00;feb-89;3.3;Y
1989-03-01 00:00;1989-04-01 00:00;mar-89;3.5;Y
1989-04-01 00:00;1989-05-01 00:00;apr-89;5.5;Y
1989-05-01 00:00;1989-06-01 00:00;maj-89;12.8;Y
1989-06-01 00:00;1989-07-01 00:00;jun-89;16.1;Y
1989-07-01 00:00;1989-08-01 00:00;jul-89;18.4;Y
1989-08-01 00:00;1989-09-01 00:00;aug-89;16.0;Y
1989-09-01 00:00;1989-10-01 00:00;sep-89;13.4;Y
1989-10-01 00:00;1989-11-01 00:00;okt-89;8.0;Y
1989-11-01 00:00;1989-12-01 00:00;nov-89;2.8;Y
1989-12-01 00:00;1990-01-01 00:00;dec-89;-1.6;Y
1990-01-01 00:00;1990-02-01 00:00;jan-90;1.3;Y
