Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1996-02-01 00:00;1996-03-01 00:00;feb-96;-4.0;Y
1996-03-01 00:00;1996-04-01 00:00;mar-96;0.7;Y
1996-04-01 00:00;1996-05-01 00:00;apr-96;7.0;Y
1996-05-01 00:00;1996-06-01 00:00;maj-96;9.3;Y
1996-06-01 00:00;1996-07-01 00:00;jun-96;14.6;Y
1996-07-01 00:00;1996-08-01 00:00;jul-96;15.8;Y
1996-08-01 00:00;1996-09-01 00:00;aug-96;18.8;Y
1996-09-01 00:00;1996-10-01 00:00;sep-96;11.1;Y
1996-10-01 00:00;1996-11-01 00:00;okt-96;9.8;Y
1996-11-01 00:00;1996-12-01 00:00;nov-96;4.8;Y
1996-12-01 00:00;1997-01-01 00:00;dec-96;-1.9;Y
1997-01-01 00:00;1997-02-01 00:00;jan-97;-1.5;Y
1997-02-01 00:00;1997-03-01 00:00;feb-97;1.8;Y
1997-03-01 00:00;1997-04-01 00:00;mar-97;3.2;Y
1997-04-01 00:00;1997-05-01 00:00;apr-97;5.5;Y
1997-05-01 00:00;1997-06-01 00:00;maj-97;10.2;Y
1997-06-01 00:00;1997-07-01 00:00;jun-97;16.7;Y
1997-07-01 00:00;1997-08-01 00:00;jul-97;19.0;Y
1997-08-01 00:00;1997-09-01 00:00;aug-97;20.9;Y
1997-09-01 00:00;1997-10-01 00:00;sep-97;13.9;Y
1997-10-01 00:00;1997-11-01 00:00;okt-97;6.6;Y
1997-11-01 00:00;1997-12-01 00:00;nov-97;3.6;Y
1997-12-01 00:00;1998-01-01 00:00;dec-97;1.5;Y
1998-01-01 00:00;1998-02-01 00:00;jan-98;1.7;Y
1998-02-01 00:00;1998-03-01 00:00;feb-98;4.2;Y
1998-03-01 00:00;1998-04-01 00:00;mar-98;2.8;Y
1998-04-01 00:00;1998-05-01 00:00;apr-98;6.3;Y
1999-04-01 00:00;1999-05-01 00:00;apr-99;8.2;Y
1999-05-01 00:00;1999-06-01 00:00;maj-99;10.5;Y
1999-06-01 00:00;1999-07-01 00:00;jun-99;14.6;Y
1999-07-01 00:00;1999-08-01 00:00;jul-99;18.0;Y
1999-08-01 00:00;1999-09-01 00:00;aug-99;16.9;Y
1999-09-01 00:00;1999-10-01 00:00;sep-99;16.3;Y
1999-10-01 00:00;1999-11-01 00:00;okt-99;8.9;Y
1999-11-01 00:00;1999-12-01 00:00;nov-99;5.8;Y
1999-12-01 00:00;2000-01-01 00:00;dec-99;1.1;Y
2000-01-01 00:00;2000-02-01 00:00;jan-00;2.5;Y
2000-02-01 00:00;2000-03-01 00:00;feb-00;2.9;Y
2000-03-01 00:00;2000-04-01 00:00;mar-00;3.3;Y
2000-04-01 00:00;2000-05-01 00:00;apr-00;9.1;Y
2000-05-01 00:00;2000-06-01 00:00;maj-00;13.5;Y
2000-06-01 00:00;2000-07-01 00:00;jun-00;14.6;Y
2000-07-01 00:00;2000-08-01 00:00;jul-00;16.4;Y
2000-08-01 00:00;2000-09-01 00:00;aug-00;16.1;Y
2000-09-01 00:00;2000-10-01 00:00;sep-00;12.9;Y
2000-10-01 00:00;2000-11-01 00:00;okt-00;11.4;Y
2000-11-01 00:00;2000-12-01 00:00;nov-00;7.6;Y
2000-12-01 00:00;2001-01-01 00:00;dec-00;3.3;Y
