Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1969-10-01 00:00;1969-11-01 00:00;okt-69;3.8;Y
1969-11-01 00:00;1969-12-01 00:00;nov-69;-6.0;Y
1969-12-01 00:00;1970-01-01 00:00;dec-69;-10.5;Y
1970-01-01 00:00;1970-02-01 00:00;jan-70;-11.7;Y
1970-02-01 00:00;1970-03-01 00:00;feb-70;-17.6;Y
1970-03-01 00:00;1970-04-01 00:00;mar-70;-5.1;Y
1970-04-01 00:00;1970-05-01 00:00;apr-70;-2.4;Y
1970-05-01 00:00;1970-06-01 00:00;maj-70;5.9;Y
1970-06-01 00:00;1970-07-01 00:00;jun-70;15.2;Y
1970-07-01 00:00;1970-08-01 00:00;jul-70;15.7;Y
1970-08-01 00:00;1970-09-01 00:00;aug-70;14.7;Y
1970-09-01 00:00;1970-10-01 00:00;sep-70;7.7;Y
1970-10-01 00:00;1970-11-01 00:00;okt-70;2.1;Y
1970-11-01 00:00;1970-12-01 00:00;nov-70;-6.1;Y
1970-12-01 00:00;1971-01-01 00:00;dec-70;-5.5;Y
1971-01-01 00:00;1971-02-01 00:00;jan-71;-8.7;Y
1971-02-01 00:00;1971-03-01 00:00;feb-71;-10.2;Y
1971-03-01 00:00;1971-04-01 00:00;mar-71;-10.3;Y
1971-04-01 00:00;1971-05-01 00:00;apr-71;-1.0;Y
1971-05-01 00:00;1971-06-01 00:00;maj-71;6.1;Y
1971-06-01 00:00;1971-07-01 00:00;jun-71;12.8;Y
1971-07-01 00:00;1971-08-01 00:00;jul-71;14.9;Y
1971-08-01 00:00;1971-09-01 00:00;aug-71;13.9;Y
1971-09-01 00:00;1971-10-01 00:00;sep-71;7.7;Y
1971-10-01 00:00;1971-11-01 00:00;okt-71;2.2;Y
1971-11-01 00:00;1971-12-01 00:00;nov-71;-8.0;Y
1971-12-01 00:00;1972-01-01 00:00;dec-71;-5.8;Y
1972-01-01 00:00;1972-02-01 00:00;jan-72;-10.8;Y
1972-02-01 00:00;1972-03-01 00:00;feb-72;-9.9;Y
1972-03-01 00:00;1972-04-01 00:00;mar-72;-4.8;Y
1972-04-01 00:00;1972-05-01 00:00;apr-72;0.2;Y
1972-05-01 00:00;1972-06-01 00:00;maj-72;5.0;Y
1972-06-01 00:00;1972-07-01 00:00;jun-72;13.7;Y
1972-07-01 00:00;1972-08-01 00:00;jul-72;19.1;Y
1972-08-01 00:00;1972-09-01 00:00;aug-72;14.0;Y
1972-09-01 00:00;1972-10-01 00:00;sep-72;8.2;Y
1972-10-01 00:00;1972-11-01 00:00;okt-72;2.9;Y
1972-11-01 00:00;1972-12-01 00:00;nov-72;-4.3;Y
1972-12-01 00:00;1973-01-01 00:00;dec-72;-1.6;Y
1973-01-01 00:00;1973-02-01 00:00;jan-73;-3.3;Y
1973-02-01 00:00;1973-03-01 00:00;feb-73;-8.9;Y
1973-03-01 00:00;1973-04-01 00:00;mar-73;-2.3;Y
1973-04-01 00:00;1973-05-01 00:00;apr-73;-0.0;Y
1973-05-01 00:00;1973-06-01 00:00;maj-73;6.0;Y
1973-06-01 00:00;1973-07-01 00:00;jun-73;14.0;Y
1973-07-01 00:00;1973-08-01 00:00;jul-73;19.2;Y
1973-08-01 00:00;1973-09-01 00:00;aug-73;13.1;Y
1973-09-01 00:00;1973-10-01 00:00;sep-73;5.8;Y
1973-10-01 00:00;1973-11-01 00:00;okt-73;-0.9;Y
1973-11-01 00:00;1973-12-01 00:00;nov-73;-6.6;Y
1973-12-01 00:00;1974-01-01 00:00;dec-73;-12.5;Y
1974-01-01 00:00;1974-02-01 00:00;jan-74;-5.6;Y
1974-02-01 00:00;1974-03-01 00:00;feb-74;-6.2;Y
1974-03-01 00:00;1974-04-01 00:00;mar-74;-4.3;Y
1974-04-01 00:00;1974-05-01 00:00;apr-74;2.0;Y
1974-05-01 00:00;1974-06-01 00:00;maj-74;5.9;Y
1974-06-01 00:00;1974-07-01 00:00;jun-74;14.1;Y
1974-07-01 00:00;1974-08-01 00:00;jul-74;15.3;Y
1974-08-01 00:00;1974-09-01 00:00;aug-74;14.0;Y
1974-09-01 00:00;1974-10-01 00:00;sep-74;10.4;Y
1974-10-01 00:00;1974-11-01 00:00;okt-74;2.2;Y
1974-11-01 00:00;1974-12-01 00:00;nov-74;-4.1;Y
1974-12-01 00:00;1975-01-01 00:00;dec-74;-5.6;Y
